"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2022","13.50","13.80","13.81","13.50","281.00K","-3.02%"
"01/18/2022","13.92","14.20","14.20","13.90","90.50K","-0.57%"
"01/17/2022","14.00","14.01","14.26","13.90","144.50K","-1.82%"
"01/14/2022","14.26","14.50","14.60","14.15","348.50K","0.07%"
"01/13/2022","14.25","14.31","14.45","14.25","57.50K","-1.04%"
"01/12/2022","14.40","14.50","14.80","14.35","974.00K","-0.69%"
"01/11/2022","14.50","14.85","14.90","14.42","290.50K","-1.02%"
"01/10/2022","14.65","14.50","15.04","14.40","1.79M","1.88%"
"01/07/2022","14.38","14.00","14.65","13.98","3.23M","3.45%"
"01/06/2022","13.90","14.00","14.15","13.80","670.50K","-1.77%"
"01/05/2022","14.15","13.80","14.40","13.80","658.00K","-0.07%"
"01/04/2022","14.16","13.90","14.25","13.70","908.00K","2.61%"
"01/03/2022","13.80","13.80","13.90","13.70","302.50K","0.36%"
"12/31/2021","13.75","13.80","13.95","13.70","858.50K","-0.72%"
"12/30/2021","13.85","14.10","14.15","13.71","323.00K","0.87%"
"12/29/2021","13.73","14.14","14.14","13.70","435.50K","0.96%"
"12/28/2021","13.60","14.20","14.20","13.60","230.00K","-2.86%"
"12/27/2021","14.00","14.50","14.50","13.90","292.00K","-2.44%"
"12/24/2021","14.35","14.00","14.70","13.99","434.50K","2.50%"
"12/23/2021","14.00","14.21","14.48","13.90","356.50K","0.07%"
"12/22/2021","13.99","14.00","14.33","13.90","559.00K","1.01%"
"12/21/2021","13.85","13.33","14.18","13.25","1.42M","5.32%"
"12/20/2021","13.15","13.20","13.31","13.14","118.00K","1.08%"
"12/17/2021","13.01","13.10","13.48","12.80","171.00K","1.64%"
"12/16/2021","12.80","13.37","13.35","12.80","728.00K","-3.69%"
"12/15/2021","13.29","13.25","13.59","13.15","760.00K","4.24%"
"12/14/2021","12.75","12.90","13.00","12.50","125.50K","2.00%"
"12/13/2021","12.50","13.27","13.27","12.50","387.50K","-3.18%"
"12/10/2021","12.91","13.17","13.24","12.72","186.50K","0.47%"
"12/09/2021","12.85","13.20","13.20","12.85","131.50K","-1.15%"
"12/08/2021","13.00","13.44","13.44","13.00","306.50K","-1.52%"
"12/07/2021","13.20","13.10","13.55","13.00","596.00K","2.72%"
"12/06/2021","12.85","13.15","13.15","12.75","330.00K","-0.77%"
"12/03/2021","12.95","13.50","13.51","12.95","210.00K","-3.72%"
"12/02/2021","13.45","14.25","14.25","13.45","931.00K","-7.11%"
"12/01/2021","14.48","14.75","14.90","14.25","276.00K","-0.75%"
"11/30/2021","14.59","14.90","14.90","14.50","78.00K","-0.41%"
"11/29/2021","14.65","13.60","14.78","13.60","521.00K","3.61%"
"11/26/2021","14.14","14.19","14.40","13.50","348.00K","2.09%"
"11/25/2021","13.85","14.06","14.23","13.85","121.50K","-2.74%"
"11/24/2021","14.24","14.25","14.39","13.95","423.00K","-0.07%"
"11/23/2021","14.25","15.01","15.20","14.21","631.00K","-5.00%"
"11/22/2021","15.00","15.61","16.43","14.31","437.50K","-1.32%"
"11/19/2021","15.20","15.85","16.00","15.20","694.50K","-2.88%"
"11/18/2021","15.65","16.13","16.13","15.62","196.50K","-1.26%"
"11/17/2021","15.85","16.05","16.37","15.77","414.00K","-1.25%"
"11/16/2021","16.05","16.30","16.55","15.92","576.50K","0.25%"
"11/15/2021","16.01","16.74","16.74","15.99","376.50K","-4.42%"
"11/12/2021","16.75","16.75","16.90","16.20","325.00K","0.00%"
"11/11/2021","16.75","17.10","17.49","16.35","313.00K","-0.06%"
"11/10/2021","16.76","16.32","17.25","16.32","842.00K","2.20%"
"11/09/2021","16.40","16.87","17.39","16.20","362.00K","-2.32%"
"11/08/2021","16.79","17.39","17.43","16.51","325.50K","-1.76%"
"11/05/2021","17.09","17.35","17.50","17.00","294.00K","-0.87%"
"11/04/2021","17.24","17.05","17.50","17.00","1.48M","1.41%"
"11/03/2021","17.00","16.85","17.10","16.73","398.00K","2.66%"
"11/02/2021","16.56","16.65","17.15","16.52","522.00K","-1.02%"
"11/01/2021","16.73","16.69","17.20","16.25","1.28M","3.59%"
"10/29/2021","16.15","16.50","16.64","15.86","1.80M","-2.12%"
"10/28/2021","16.50","16.51","17.35","16.50","667.00K","1.54%"
"10/27/2021","16.25","17.20","17.50","16.00","413.50K","-3.85%"
"10/26/2021","16.90","16.71","16.98","16.70","32.00K","-1.97%"
"10/25/2021","17.24","17.75","17.75","16.75","83.50K","-0.81%"
"10/22/2021","17.38","17.75","17.88","17.05","304.50K","-3.77%"
"10/21/2021","18.06","19.10","19.74","18.06","2.94M","-6.91%"
"10/20/2021","19.40","18.60","19.83","18.11","1.88M","7.78%"
"10/18/2021","18.00","17.75","19.00","17.40","2.31M","0.90%"
"10/15/2021","17.84","16.25","17.84","16.14","1.53M","7.41%"
"10/14/2021","16.61","15.50","16.61","15.30","1.63M","8.28%"
